"gutenberg_id" "text"
4980 "<CHAPTER I>"
4980 "Reddy Fox Brings Granny News"
4980 ""
4980 ""
4980 "Pray who is there who would refuse"
4980 "To bearer be of happy news?"
4980 "          ??_Old Granny Fox_."
4980 ""
4980 ""
4980 "Snow covered the Green Meadows and the Green Forest, and ice bound the"
4980 "Smiling Pool and the Laughing Brook. Reddy and Granny Fox were hungry"
4980 "most of the time. It was not easy to find enough to eat these days, and"
4980 "so they spent nearly every minute they were awake in hunting. Sometimes"
4980 "they hunted together, but usually one went one way, and the other went"
4980 "another way so as to have a greater chance of finding something. If"
4980 "either found enough for two, the one finding it took the food back to"
4980 "their home if it could be carried. If not, the other was told where to"
4980 "find it."
4980 ""
4980 "For several days they had had very little indeed to eat, and they were"
4980 "so hungry that they were willing to take almost any chance to get a"
4980 "good meal. For two nights they had visited Farmer Brown??s henhouse,"
4980 "hoping that they would be able to find a way inside. But the biddies"
4980 "had been securely locked up, and try as they would, they couldn??t find"
4980 "a way in."
4980 ""
4980 "??It??s of no use,?? said Granny, as they started back home after the"
4980 "second try, ??to hope to get one of those hens at night. If we are going"
4980 "to get any at all, we will have to do it in broad daylight. It can be"
4980 "done, for I have done it before, but I don??t like the idea. We are"
4980 "likely to be seen, and that means that Bowser the Hound will be set to"
4980 "hunting us.??"
4980 ""
4980 "??Pooh!?? exclaimed Reddy. ??What of it? It??s easy enough to fool him.??"
4980 ""
4980 "??You think so, do you??? snapped Granny. ??I never yet saw a young Fox"
4980 "who didn??t think he knew all there is to know, and you??re just like the"
4980 "rest. When you??ve lived as long as I have you will have learned not to"
4980 "be quite so sure of your own opinions. I grant you that when there is"
4980 "no snow on the ground, any Fox with a reasonable amount of Fox sense in"
4980 "his head can fool Bowser, but with snow everywhere it is a very"
4980 "different matter. If Bowser once takes it into his head to follow your"
4980 "trail these days, you will have to be smarter than I think you are to"
4980 "fool him. The only way you will be able to get away from him will be by"
4980 "going into a hole in the ground, and when you do that you will have"
4980 "given away a secret that will mean we will never have any peace at all."
4980 "We will never know when Farmer Brown??s boy will take it into his head"
4980 "to smoke us out. I??ve seen it done. No, Sir, we are not going to try"
4980 "for one of those hens in the daytime unless we are starving.??"
4980 ""
4980 "??I??m starving now,?? whined Reddy."
4980 ""
4980 "??No such thing!?? Granny snapped. ??I??ve been without food longer than"
4980 "this many a time. Have you been over to the Big River lately???"
4980 ""
4980 "??No,?? replied Reddy. ??What??s the use? It??s frozen over. There isn??t"
4980 "anything there.??"
4980 ""
4980 "??Perhaps not,?? replied Granny, ??but I learned a long time ago that it"
4980 "is a poor plan to overlook any chance. There is a place in the Big"
4980 "River which never freezes because the water runs too swiftly to freeze,"
4980 "and I??ve found more than one meal washed ashore there. You go over"
4980 "there now while I see what I can find in the Green Forest. If neither"
4980 "of us finds anything, it will be time enough to think about Farmer"
4980 "Brown??s hens to-morrow.??"
4980 ""
4980 "Much against his will Reddy obeyed. ??It isn??t the least bit of use,?? he"
4980 "grumbled, as he trotted towards the Big River. ??There won??t be anything"
4980 "there. It is just a waste of time.??"
4980 ""
4980 "Late that afternoon he came hurrying back, and Granny knew by the way"
4980 "that he cocked his ears and carried his tail that he had news of some"
4980 "kind. ??Well, what is it??? she demanded."
4980 ""
4980 "??I found a dead fish that had been washed ashore,?? replied Reddy. ??It"
4980 "wasn??t big enough for two, so I ate it.??"
4980 ""
4980 "??Anything else??? asked Granny."
4980 ""
4980 "??No-o,?? replied Reddy slowly; ??that is, nothing that will do us any"
4980 "good. Quacker the Wild Duck was swimming about out in the open water,"
4980 "but though I watched and watched he never once came ashore.??"
4980 ""
4980 "??Ha!?? exclaimed Granny. ??That _is_ good news. I think we??ll go Duck"
4980 "hunting.??"
4980 ""
4980 ""
4980 ""
4980 ""
4980 "<CHAPTER II>"
4980 "Granny And Reddy Fox Go Hunting"
4980 ""
4980 ""
4980 "When you??re in doubt what course is right,"
4980 "The thing to do is just sit tight."
4980 "          ??_Old Granny Fox_."
4980 ""
4980 ""
4980 "Jolly, round, bright Mr. Sun had just got well started on his daily"
4980 "climb up in the blue, blue sky that morning when he spied two figures"
4980 "trotting across the snow-covered Green Meadows, one behind the other."
4980 "They were trotting along quite as if they had made up their minds just"
4980 "where they were going. They had. You see they were Granny and Reddy"
4980 "Fox, and they were bound for the Big River at the place where the water"
4980 "ran too swiftly to freeze. The day before Reddy had discovered Quacker"
4980 "the Wild Duck swimming about there, and now they were on their way to"
4980 "try to catch him."
4980 ""
4980 "Granny led the way and Reddy meekly followed her. To tell the truth,"
4980 "Reddy hadn??t the least idea that they would have a chance to catch"
4980 "Quacker, because Quacker kept out in the water where he was as safe"
4980 "from them as if they were a thousand miles away. The only reason that"
4980 "Reddy had willingly started with Granny was the hope that he might find"
4980 "a dead fish washed up on the shore as he had the day before."
4980 ""
4980 "??Granny certainly is growing foolish in her old age,?? thought Reddy, as"
4980 "he trotted along behind her. ??I told her that Quacker never once came"
4980 "ashore all the time I watched yesterday. I don??t believe he _ever_"
4980 "comes ashore, and if she knows anything at all she ought to know that"
4980 "she can??t catch him out there in the water. Granny used to be smart"
4980 "enough when she was young, I guess, but she certainly is losing her"
4980 "mind now. It??s a pity, a great pity. I can just imagine how Quacker"
4980 "will laugh at her. I have to laugh myself.??"
4980 ""
4980 "He did laugh, but you may be sure he took great pains that Granny"
4980 "should not see him laughing. Whenever she looked around he was as sober"
4980 "as could be. In fact, he appeared to be quite as eager as if he felt"
4980 "sure they would catch Quacker. Now old Granny Fox is very wise in the"
4980 "ways of the Great World, and if Reddy could have known what was going"
4980 "on in her mind as she led the way to the Big River, he might not have"
4980 "felt quite so sure of his own smartness. Granny was doing some quiet"
4980 "laughing herself."
4980 ""
4980 "??He thinks I??m old and foolish and don??t know what I??m about, the young"
4980 "scamp!?? thought she. ??He thinks he has learned all there is to learn."
4980 "It isn??t the least use in the world to try to tell him anything. When"
4980 "young folks feel the way he does, it is a waste of time to talk to"
4980 "them. He has got to be shown. There is nothing like experience to take"
4980 "the conceit out of these youngsters.??"
4980 ""
4980 "Now conceit is the feeling that you know more than any one else."
4980 "Perhaps you do. Then again, perhaps you don??t. So sometimes it is best"
4980 "not to be too sure of your own opinion. Reddy was sure. He trotted"
4980 "along behind old Granny Fox and planned smart things to say to her when"
4980 "she found that there wasn??t a chance to catch Quacker the Duck. I am"
4980 "afraid, very much afraid, that Reddy was planning to be saucy. People"
4980 "who think themselves smart are quite apt to be saucy."
4980 ""
4980 "Presently they came to the bank of the Big River. Old Granny Fox told"
4980 "Reddy to sit still while she crept up behind some bushes where she"
4980 "could peek out over the Big River. He grinned as he watched her. He was"
4980 "still grinning when she tiptoed back. He expected to see her face long"
4980 "with disappointment. Instead she looked very much pleased."
4980 ""
4980 "??Quacker is there,?? said she, ??and I think he will make us a very good"
4980 "dinner. Creep up behind those bushes and see for yourself, then come"
4980 "back here and tell me what you think we??d better do to get him.??"
4980 ""
4980 "So Reddy stole up behind the bushes, and this time it was Granny who"
4980 "grinned as she watched. As he crept along, Reddy wondered if it could"
4980 "be that for once Quacker had come ashore. Granny seemed so sure they"
4980 "could catch him that this must be the case. But when he peeped through"
4980 "the hushes, there was Quacker way out in the middle of the open water"
4980 "just where he had been the day before."
4980 ""
4980 ""
4980 ""
4980 ""
4980 "<CHAPTER III>"
4980 "Reddy Is Sure Granny Has Lost Her Senses"
4980 ""
4980 ""
4980 "Perhaps ??tis just as well that we"
4980 "Can??t see ourselves as others see."
4980 "          ??_Old Granny Fox_."
4980 ""
4980 ""
4980 "??Just as I thought,?? muttered Reddy Fox as he peeped through the bushes"
4980 "on the bank of the Big River and saw Quacker swimming about in the"
4980 "water where it ran too swiftly to freeze. ??We??ve got just as much"
4980 "chance of catching him as I have of jumping over the moon. That??s what"
4980 "I??ll tell Granny.??"
4980 ""
4980 "He crept back carefully so as not to be seen by Quacker, and when he"
4980 "had reached the place where Granny was waiting for him, his face wore a"
4980 "very impudent look."
4980 ""
4980 "??Well,?? said Granny Fox, ??what shall we do to catch him???"
4980 ""
4980 "??Learn to swim like a fish and fly like a bird,?? replied Reddy in such"
4980 "a saucy tone that Granny had hard work to keep from boxing his ears."
4980 ""
4980 "??You mean that you think he can??t be caught??? said she quietly."
4980 ""
4980 "??I don??t think anything about it; I _know_ he can??t!?? snapped Reddy."
4980 "??Not by us, anyway,?? he added."
4980 ""
